title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Interstellar,Mankind was born on Earth. It was never meant to die here.,1,Christopher Nolan,2,"Jonathan Nolan,Christopher Nolan","Matthew McConaughey,Anne Hathaway,Jessica Chastain",2014,1,"Adventure,Drama,Sci-Fi",148,44,8.6,1684810,74.0,169,"United States,United Kingdom,Canada","Paramount Pictures,Warner Bros.,Legendary Entertainment",https://www.imdb.com/title/tt0816692/
Guardians of the Galaxy,You're welcome.,1,James Gunn,3,"James Gunn,Nicole Perlman,Dan Abnett(based on the Marvel comics by)","Chris Pratt,Vin Diesel(voice),Bradley Cooper(voice)",2014,0,"Action,Adventure,Comedy,Sci-Fi",102,52,8.0,1122239,76.0,121,United States,"Marvel Studios,Walt Disney Pictures,Moving Pictures Company",https://www.imdb.com/title/tt2015381/
Gone Girl,You don't know what you've got 'til it's...,1,David Fincher,1,Gillian Flynn(screenplay),"Ben Affleck,Rosamund Pike,Neil Patrick Harris",2014,0,"Drama,Mystery,Thriller",188,64,8.1,934509,79.0,149,United States,"Twentieth Century Fox,New Regency Productions,TSG Entertainment",https://www.imdb.com/title/tt2267998/
Captain America: The Winter Soldier,In heroes we trust.,2,"Anthony Russo,Joe Russo",3,"Christopher Markus(screenplay by),Stephen McFeely(screenplay by),Joe Simon(based on the Marvel comics by)","Chris Evans,Samuel L. Jackson,Scarlett Johansson",2014,0,"Action,Adventure,Sci-Fi,Thriller",52,5,7.7,801739,70.0,136,United States,"Marvel Entertainment,Marvel Studios,Walt Disney Pictures",https://www.imdb.com/title/tt1843866/
Whiplash,The road to greatness can take you to the edge,1,Damien Chazelle,1,Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist",2014,3,"Drama,Music",145,98,8.5,789402,88.0,106,United States,"Bold Films,Blumhouse Productions,Right of Way Films",https://www.imdb.com/title/tt2582802/
The Grand Budapest Hotel,,1,Wes Anderson,3,"Stefan Zweig(inspired by the writings of),Wes Anderson(screenplay),Hugo Guinness(story)","Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",2014,4,"Adventure,Comedy,Crime",226,134,8.1,767708,88.0,99,"United States,Germany","Fox Searchlight Pictures,Indian Paintbrush,Studio Babelsberg",https://www.imdb.com/title/tt2278388/
The Imitation Game,The true enigma was the man who cracked the code,1,Morten Tyldum,2,"Graham Moore,Andrew Hodges(book ""Alan Turing: The Enigma"")","Benedict Cumberbatch,Keira Knightley,Matthew Goode",2014,1,"Biography,Drama,Thriller,War",163,49,8.0,736188,71.0,114,"United Kingdom,United States","Black Bear Pictures,FilmNation Entertainment,Bristol Automotive",https://www.imdb.com/title/tt2084970/
X-Men: Days of Future Past,His past. Our future.,1,Bryan Singer,3,"Simon Kinberg(screenplay by),Jane Goldman(story by),Matthew Vaughn(story by)","Patrick Stewart,Ian McKellen,Hugh Jackman",2014,0,"Action,Adventure,Sci-Fi,Thriller",48,16,7.9,690134,75.0,132,"United States,United Kingdom","Twentieth Century Fox,Marvel Entertainment,TSG Entertainment",https://www.imdb.com/title/tt1877832/
Edge of Tomorrow,"Live, Die, Repeat",1,Doug Liman,3,"Christopher McQuarrie(screenplay by),Jez Butterworth(screenplay by),John-Henry Butterworth(screenplay by)","Tom Cruise,Emily Blunt,Bill Paxton",2014,0,"Action,Adventure,Sci-Fi",38,11,7.9,646299,71.0,113,"United States,Canada","Warner Bros.,Village Roadshow Pictures,RatPac-Dune Entertainment",https://www.imdb.com/title/tt1631867/
Kingsman: The Secret Service,Manners maketh man.,1,Matthew Vaughn,3,"Jane Goldman(screenplay by),Matthew Vaughn(screenplay by),Mark Millar(based on the comic book ""The Secret Service"" by)","Colin Firth,Taron Egerton,Samuel L. Jackson",2014,0,"Action,Adventure,Comedy,Thriller",32,10,7.7,635822,60.0,129,"United Kingdom,United States","Twentieth Century Fox,Marv Films,Cloudy Productions",https://www.imdb.com/title/tt2802144/
Birdman or (The Unexpected Virtue of Ignorance),You're Anything But Invisible,1,Alejandro G. Iñárritu,3,"Alejandro G. Iñárritu,Nicolás Giacobone,Alexander Dinelaris","Michael Keaton,Zach Galifianakis,Edward Norton",2014,4,"Comedy,Drama",291,193,7.7,611307,87.0,119,United States,"New Regency Productions,M Productions,Grisbi Productions, Le",https://www.imdb.com/title/tt2562232/
John Wick,Don't Set Him Off!,2,"Chad Stahelski,David Leitch(uncredited)",1,Derek Kolstad,"Keanu Reeves,Michael Nyqvist,Alfie Allen",2014,0,"Action,Crime,Thriller",10,5,7.4,595596,68.0,101,"United States,United Kingdom,China","Summit Entertainment,Thunder Road Pictures,87Eleven",https://www.imdb.com/title/tt2911666/
Ex Machina,To erase the line between man and machine is to obscure the line between men and gods,1,Alex Garland,1,Alex Garland,"Alicia Vikander,Domhnall Gleeson,Oscar Isaac",2014,1,"Drama,Sci-Fi,Thriller",161,73,7.7,516494,78.0,108,United Kingdom,"A24,Universal Pictures,Film4",https://www.imdb.com/title/tt0470752/
Nightcrawler,The City Shines Brightest at Night,1,Dan Gilroy,1,Dan Gilroy,"Jake Gyllenhaal,Rene Russo,Bill Paxton",2014,0,"Crime,Drama,Thriller",124,42,7.8,511763,76.0,117,United States,"Bold Films,Nightcrawler,Sierra / Affinity",https://www.imdb.com/title/tt2872718/
The Hobbit: The Battle of the Five Armies,The Defining Chapter,1,Peter Jackson,3,"Fran Walsh(screenplay),Philippa Boyens(screenplay),Peter Jackson(screenplay)","Ian McKellen,Martin Freeman,Richard Armitage",2014,0,"Adventure,Fantasy",55,8,7.4,506630,59.0,144,"New Zealand,United States","New Line Cinema,Metro-Goldwyn-Mayer (MGM),WingNut Films",https://www.imdb.com/title/tt2310332/
Lucy,She has the Power.,1,Luc Besson,1,Luc Besson,"Scarlett Johansson,Morgan Freeman,Choi Min-sik",2014,0,"Action,Sci-Fi,Thriller",12,1,6.4,476972,61.0,89,"France,Germany,Taiwan,Canada,United States,United Kingdom","EuropaCorp,TF1 Films Production,Grive Productions",https://www.imdb.com/title/tt2872732/
The Amazing Spider-Man 2,No more secrets.,1,Marc Webb,3,"Alex Kurtzman(screenplay),Roberto Orci(screenplay),Jeff Pinkner(screenplay)","Andrew Garfield,Emma Stone,Jamie Foxx",2014,0,"Action,Adventure,Sci-Fi",30,4,6.6,472159,53.0,142,United States,"Marvel Enterprises,Avi Arad Productions,Columbia Pictures",https://www.imdb.com/title/tt1872181/
American Sniper,One Bullet can tell the story,1,Clint Eastwood,3,"Jason Hall,Chris Kyle(book),Scott McEwen(book)","Bradley Cooper,Sienna Miller,Kyle Gallner",2014,1,"Action,Biography,Drama,War",43,24,7.3,467693,72.0,133,United States,"Warner Bros.,Village Roadshow Pictures,RatPac-Dune Entertainment",https://www.imdb.com/title/tt2179136/
Fury,War never ends quietly.,1,David Ayer,1,David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman",2014,0,"Action,Drama,War",24,5,7.6,463188,64.0,134,"United States,China,United Kingdom","Columbia Pictures,QED International,LStar Capital",https://www.imdb.com/title/tt2713180/
The Maze Runner,Get ready to run.,1,Wes Ball,3,"Noah Oppenheim(screenplay by),Grant Pierce Myers(screenplay by),T.S. Nowlin(screenplay by)","Dylan O'Brien,Kaya Scodelario,Will Poulter",2014,0,"Action,Mystery,Sci-Fi,Thriller",12,4,6.8,447159,57.0,113,"United States,United Kingdom","Twentieth Century Fox,Gotham Group,Temple Hill Entertainment",https://www.imdb.com/title/tt1790864/
Divergent,One choice can transform you,1,Neil Burger,3,"Evan Daugherty(screenplay by),Vanessa Taylor(screenplay by),Veronica Roth(based on the novel by)","Shailene Woodley,Theo James,Kate Winslet",2014,0,"Action,Adventure,Mystery,Sci-Fi",11,7,6.6,446714,48.0,139,United States,"Summit Entertainment,Red Wagon Entertainment",https://www.imdb.com/title/tt1840309/
Big Hero 6,From the creators of Wreck-It Ralph and Frozen.,2,"Don Hall,Chris Williams",3,"Jordan Roberts(screenplay by),Robert L. Baird(screenplay by),Daniel Gerson(screenplay by)","Ryan Potter(voice),Scott Adsit(voice),Jamie Chung(voice)",2014,1,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",58,17,7.8,440442,74.0,102,United States,"FortyFour Studios,Walt Disney Animation Studios,Walt Disney Pictures",https://www.imdb.com/title/tt2245084/
The Hunger Games: Mockingjay - Part 1,Fire burns brighter in the darkness,1,Francis Lawrence,3,"Peter Craig(screenplay),Danny Strong(screenplay),Suzanne Collins(adaptation)","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",2014,0,"Action,Adventure,Sci-Fi,Thriller",32,21,6.6,439577,64.0,123,"United States,Canada,France","Lionsgate,Color Force,French Tax Credit",https://www.imdb.com/title/tt1951265/
The Theory of Everything,The incredible story of Jane and Stephen Hawking,1,James Marsh,2,"Anthony McCarten(screenplay),Jane Hawking(book ""Travelling to Infinity: My Life with Stephen"")","Eddie Redmayne,Felicity Jones,Tom Prior",2014,1,"Biography,Drama,Romance",125,25,7.7,434112,71.0,123,"United Kingdom,Japan","Working Title Films,Dentsu Motion Pictures,Fuji Television Network",https://www.imdb.com/title/tt2980516/
Dawn of the Planet of the Apes,One last chance for peace.,1,Matt Reeves,3,"Mark Bomback,Rick Jaffa(based on characters created by),Amanda Silver(based on characters created by)","Gary Oldman,Keri Russell,Andy Serkis",2014,0,"Action,Adventure,Drama,Sci-Fi,Thriller",48,17,7.6,428687,79.0,130,"United States,United Kingdom,Canada","Chernin Entertainment,Ingenious Media,Soho VFX",https://www.imdb.com/title/tt2103281/
Godzilla,The king will rise,1,Gareth Edwards,3,"Ishirô Honda(based on the character: Godzilla, owned and created by),Takeo Murata(based on the character: Godzilla, owned and created by),Shigeru Kayama(based on the character: Godzilla, owned and created by)","Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston",2014,0,"Action,Adventure,Sci-Fi,Thriller",31,7,6.4,403780,62.0,123,"United States,Japan","Warner Bros.,Legendary Entertainment,Disruption Entertainment",https://www.imdb.com/title/tt0831387/
