Title,URL,DUration,Votes
Dune: Part One,https://www.imdb.com/title/tt1160419/,155,473004
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,148,441741
Don't Look Up,https://www.imdb.com/title/tt11286314/,138,408192
Zack Snyder's Justice League,https://www.imdb.com/title/tt12361974/,242,358716
Black Widow,https://www.imdb.com/title/tt3480822/,134,331459
Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/,132,314136
No Time to Die,https://www.imdb.com/title/tt2382320/,163,304936
The Suicide Squad,https://www.imdb.com/title/tt6334354/,132,297289
Free Guy,https://www.imdb.com/title/tt6264654/,115,274258
Eternals,https://www.imdb.com/title/tt9032400/,156,240512
Red Notice,https://www.imdb.com/title/tt7991608/,118,229854
Cruella,https://www.imdb.com/title/tt3228774/,134,208889
Nobody,https://www.imdb.com/title/tt7888964/,92,197879
Godzilla vs. Kong,https://www.imdb.com/title/tt5034838/,113,191159
The Tomorrow War,https://www.imdb.com/title/tt9777666/,138,188029
The Matrix Resurrections,https://www.imdb.com/title/tt10838180/,148,185218
Radhe,https://www.imdb.com/title/tt10888594/,135,174956
Jai Bhim,https://www.imdb.com/title/tt15097216/,164,172974
Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/,97,169655
Jungle Cruise,https://www.imdb.com/title/tt0870154/,127,167079
Army of the Dead,https://www.imdb.com/title/tt0993840/,148,161711
Mortal Kombat,https://www.imdb.com/title/tt0293429/,110,160449
Wrath of Man,https://www.imdb.com/title/tt11083552/,119,148303
Luca,https://www.imdb.com/title/tt12801262/,95,135159
Raya and the Last Dragon,https://www.imdb.com/title/tt5109280/,107,132562
Encanto,https://www.imdb.com/title/tt2953050/,102,127192
Shershaah,https://www.imdb.com/title/tt10295212/,135,112827
F9,https://www.imdb.com/title/tt5433138/,143,112582
The Last Duel,https://www.imdb.com/title/tt4244994/,152,109981
Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678/,124,105877
The Guilty,https://www.imdb.com/title/tt9421570/,90,104525
The Conjuring: The Devil Made Me Do It,https://www.imdb.com/title/tt7069210/,112,101250
The Power of the Dog,https://www.imdb.com/title/tt10293406/,126,92545
The Unforgivable,https://www.imdb.com/title/tt11233960/,112,90837
The Little Things,https://www.imdb.com/title/tt10016180/,128,88689
The Mitchells vs the Machines,https://www.imdb.com/title/tt7979580/,113,88493
Old,https://www.imdb.com/title/tt10954652/,108,82946
Last Night in Soho,https://www.imdb.com/title/tt9639470/,116,82505
The Green Knight,https://www.imdb.com/title/tt9243804/,130,79388
The French Dispatch,https://www.imdb.com/title/tt8847712/,107,74245
Hitman's Wife's Bodyguard,https://www.imdb.com/title/tt8385148/,100,73401
Sooryavanshi,https://www.imdb.com/title/tt9531772/,145,73302
Malignant,https://www.imdb.com/title/tt3811906/,111,72856
Fear Street: 1994,https://www.imdb.com/title/tt6566576/,107,72003
The Dig,https://www.imdb.com/title/tt3661210/,112,69511
Judas and the Black Messiah,https://www.imdb.com/title/tt9784798/,126,69508
The Woman in the Window,https://www.imdb.com/title/tt6111574/,100,68591
Finch,https://www.imdb.com/title/tt3420504/,115,67740
"tick, tick...BOOM!",https://www.imdb.com/title/tt8721424/,115,67568
Master,https://www.imdb.com/title/tt10579952/,178,67470
